	tz	gs	alpha
2023-07-13 21:30:00	119.04972753237958	139.72551344986127	-29.049727532379578
2023-07-13 22:00:00	123.06517705717712	146.3679609229028	-33.06517705717713
2023-07-13 22:30:00	126.39708160227906	153.80997561635598	-36.39708160227905
2023-07-13 23:00:00	128.910555957073	162.01451991957313	-38.910555957073
2023-07-13 23:30:00	130.480116173319	170.8336107955097	-40.48011617331901
2023-07-14 00:00:00	131.16538256457196	-180.0	-41.16538256457196
2023-07-14 00:30:00	130.62920222266357	-170.80326160400065	-40.62920222266355
2023-07-14 01:00:00	129.054643050112	-161.95702764253892	-39.05464305011198
2023-07-14 01:30:00	126.53375256178515	-153.7305562497036	-36.53375256178516
2023-07-14 02:00:00	123.19298944872023	-146.2722651141518	-33.19298944872022
2023-07-14 02:30:00	119.16809909700672	-139.61847062932978	-29.168099097006724
2023-07-14 03:00:00	114.58624622598609	-133.72811495888118	-24.586246225986084
2023-07-14 03:30:00	109.55720618084666	-128.51927796959626	-19.55720618084667
2023-07-14 04:00:00	104.17124973651113	-123.89570120807848	-14.171249736511122
2023-07-14 04:30:00	98.5006316759172	-119.76204277954436	-8.500631675917212
2023-07-14 05:00:00	92.6024561012318	-116.03083073690304	-2.6024561012317964
2023-07-14 05:30:00	86.52171345289446	-112.62441127038373	3.4782865471055473
2023-07-14 06:00:00	80.29398034861134	-109.4742139970609	9.706019651388658
2023-07-14 06:30:00	73.94764512260619	-106.5186266175103	16.05235487739382
2023-07-14 07:00:00	67.50568944307162	-103.69999550175581	22.494310556928376
2023-07-14 07:30:00	60.9871218074834	-100.96067572507262	29.012878192516606
2023-07-14 08:00:00	54.40818709209667	-98.23742995446526	35.59181290790333
2023-07-14 08:30:00	47.78351230888412	-95.45244037279495	42.21648769111587
2023-07-14 09:00:00	41.12744686206294	-92.49687144310124	48.87255313793706
2023-07-14 09:30:00	34.45614927061462	-89.19672243653629	55.54385072938538
2023-07-14 10:00:00	27.791922893399633	-85.23160752678297	62.20807710660037
2023-07-14 10:30:00	21.17490356554148	-79.9070841396248	68.82509643445852
2023-07-14 11:00:00	14.704651522793263	-71.35856624731835	75.29534847720674
2023-07-14 11:30:00	8.755466184497768	-52.832118212780244	81.24453381550224
2023-07-14 12:00:00	5.485382564571949	0.0	84.51461743542805
2023-07-14 12:30:00	8.755466184497768	52.832118212780244	81.24453381550224
2023-07-14 13:00:00	14.704651522793263	71.35856624731835	75.29534847720674
2023-07-14 13:30:00	21.17490356554148	79.9070841396248	68.82509643445852
2023-07-14 14:00:00	27.791922893399633	85.23160752678297	62.20807710660037
2023-07-14 14:30:00	34.45614927061462	89.19672243653629	55.54385072938538
2023-07-14 15:00:00	41.12744686206294	92.49687144310124	48.87255313793706
2023-07-14 15:30:00	47.78351230888412	95.45244037279495	42.21648769111587
2023-07-14 16:00:00	54.40818709209667	98.23742995446526	35.59181290790333
2023-07-14 16:30:00	60.9871218074834	100.96067572507262	29.012878192516606
2023-07-14 17:00:00	67.50568944307162	103.69999550175581	22.494310556928376
2023-07-14 17:30:00	73.94764512260619	106.5186266175103	16.05235487739382
2023-07-14 18:00:00	80.29398034861134	109.4742139970609	9.706019651388658
2023-07-14 18:30:00	86.52171345289446	112.62441127038373	3.4782865471055473
2023-07-14 19:00:00	92.6024561012318	116.03083073690304	-2.6024561012317964
2023-07-14 19:30:00	98.5006316759172	119.76204277954436	-8.500631675917212
2023-07-14 20:00:00	104.17124973651113	123.89570120807848	-14.171249736511122
2023-07-14 20:30:00	109.55720618084666	128.51927796959626	-19.55720618084667
2023-07-14 21:00:00	114.58624622598609	133.72811495888118	-24.586246225986084
2023-07-14 21:30:00	119.16809909700672	139.61847062932978	-29.168099097006724
2023-07-14 22:00:00	123.19298944872023	146.2722651141518	-33.19298944872022
2023-07-14 22:30:00	126.53375256178515	153.7305562497036	-36.53375256178516
2023-07-14 23:00:00	129.054643050112	161.95702764253892	-39.05464305011198
2023-07-14 23:30:00	130.62920222266357	170.80326160400065	-40.62920222266355
2023-07-15 00:00:00	131.3226639689072	-180.0	-41.3226639689072
2023-07-15 00:30:00	130.7846269600357	-170.77147570040452	-40.78462696003567
2023-07-15 01:00:00	129.2048343230743	-161.8968373603068	-39.204834323074294
2023-07-15 01:30:00	126.67618587534022	-153.6474562904159	-36.67618587534021
2023-07-15 02:00:00	123.32616511899877	-146.17219737291455	-33.326165118998766
2023-07-15 02:30:00	119.29141937248099	-139.50660748104224	-29.291419372480988
2023-07-15 03:00:00	114.69976022281297	-133.60833921079563	-24.699760222812976
2023-07-15 03:30:00	109.66135676600454	-128.39416556235474	-19.661356766004538
2023-07-15 04:00:00	104.2666817124851	-123.76672930783401	-14.266681712485083
2023-07-15 04:30:00	98.58806796761247	-119.62983778530928	-8.588067967612469
2023-07-15 05:00:00	92.68262747302086	-115.89537226446843	-2.68262747302085
2023-07-15 05:30:00	86.59532449703318	-112.48516787163211	3.404675502966828
2023-07-15 06:00:00	80.36169838991681	-109.33021029779158	9.638301610083195
2023-07-15 06:30:00	74.01010360253447	-106.36844545355984	15.989896397465529
2023-07-15 07:00:00	67.56350154990557	-103.54171247158807	22.43649845009444
2023-07-15 07:30:00	61.04090365702581	-100.79171043217698	28.959096342974192
2023-07-15 08:00:00	54.45859347516932	-98.05427518544012	35.541406524830684
2023-07-15 08:30:00	47.8312935654953	-95.250186777665	42.16870643450469
2023-07-15 09:00:00	41.173546504759436	-92.26835338982222	48.826453495240564
2023-07-15 09:30:00	34.50188849030556	-88.93089888147773	55.49811150969444
2023-07-15 10:00:00	27.839391385407843	-84.91026513659212	62.16060861459216
2023-07-15 10:30:00	21.22791188044407	-79.49762475482291	68.77208811955593
2023-07-15 11:00:00	14.7714937205712	-70.79892889674171	75.2285062794288
2023-07-15 11:30:00	8.8579492960487	-52.05281859813571	81.1420507039513
2023-07-15 12:00:00	5.642663968907243	0.0	84.35733603109276
2023-07-15 12:30:00	8.8579492960487	52.05281859813571	81.1420507039513
2023-07-15 13:00:00	14.7714937205712	70.79892889674171	75.2285062794288
2023-07-15 13:30:00	21.22791188044407	79.49762475482291	68.77208811955593
2023-07-15 14:00:00	27.839391385407843	84.91026513659212	62.16060861459216
2023-07-15 14:30:00	34.50188849030556	88.93089888147773	55.49811150969444
2023-07-15 15:00:00	41.173546504759436	92.26835338982222	48.826453495240564
2023-07-15 15:30:00	47.8312935654953	95.250186777665	42.16870643450469
2023-07-15 16:00:00	54.45859347516932	98.05427518544012	35.541406524830684
2023-07-15 16:30:00	61.04090365702581	100.79171043217698	28.959096342974192
2023-07-15 17:00:00	67.56350154990557	103.54171247158807	22.43649845009444
2023-07-15 17:30:00	74.01010360253447	106.36844545355984	15.989896397465529
2023-07-15 18:00:00	80.36169838991681	109.33021029779158	9.638301610083195
2023-07-15 18:30:00	86.59532449703318	112.48516787163211	3.404675502966828
2023-07-15 19:00:00	92.68262747302086	115.89537226446843	-2.68262747302085
2023-07-15 19:30:00	98.58806796761247	119.62983778530928	-8.588067967612469
2023-07-15 20:00:00	104.2666817124851	123.76672930783401	-14.266681712485083
2023-07-15 20:30:00	109.66135676600454	128.39416556235474	-19.661356766004538
2023-07-15 21:00:00	114.69976022281297	133.60833921079563	-24.699760222812976
2023-07-15 21:30:00	119.29141937248099	139.50660748104224	-29.291419372480988
2023-07-15 22:00:00	123.32616511899877	146.17219737291455	-33.326165118998766
2023-07-15 22:30:00	126.67618587534022	153.6474562904159	-36.67618587534021
2023-07-15 23:00:00	129.2048343230743	161.8968373603068	-39.204834323074294
2023-07-15 23:30:00	130.7846269600357	170.77147570040452	-40.78462696003567
2023-07-16 00:00:00	131.48632142429062	-180.0	-41.486321424290615
2023-07-16 00:30:00	130.94634317692308	-170.73824289316963	-40.94634317692308
2023-07-16 01:00:00	129.36108119454337	-161.8339331530016	-39.36108119454338
2023-07-16 01:30:00	126.8243317813572	-153.56066029659334	-36.8243317813572
2023-07-16 02:00:00	123.46465417082155	-146.06774781532192	-33.46465417082155
2023-07-16 02:30:00	119.41963976149815	-139.3899224552261	-29.419639761498146
2023-07-16 03:00:00	114.8177748702789	-133.48347598337165	-24.817774870278903
2023-07-16 03:30:00	109.7696375009554	-128.2638086222552	-19.769637500955398
2023-07-16 04:00:00	104.36590873705039	-123.63241300251264	-14.365908737050393
2023-07-16 04:30:00	98.67900100298854	-119.4922086148126	-8.67900100298854
2023-07-16 05:00:00	92.76603301861503	-115.75440356002821	-2.7660330186150426
2023-07-16 05:30:00	86.67194095677434	-112.34030225925042	3.328059043225665
2023-07-16 06:00:00	80.4322250533312	-109.18043019382648	9.567774946668811
2023-07-16 06:30:00	74.07520468499317	-106.21227573195955	15.924795315006836
2023-07-16 07:00:00	67.62382092506857	-103.37715293307308	22.376179074931425
2023-07-16 07:30:00	61.09708963615609	-100.61608205533093	28.902910363843908
2023-07-16 08:00:00	54.51133690358883	-97.8639404137	35.488663096411166
2023-07-16 08:30:00	47.8813883735682	-95.04005934474074	42.11861162643179
2023-07-16 09:00:00	41.22199356633574	-92.03101957330956	48.77800643366426
2023-07-16 09:30:00	34.55009166273177	-88.65495802745681	55.44990833726824
2023-07-16 10:00:00	27.889571760637846	-84.57697295246571	62.11042823936215
2023-07-16 10:30:00	21.284112468815056	-79.07365141309934	68.71588753118495
2023-07-16 11:00:00	14.842463401280625	-70.22189087321132	75.15753659871939
2023-07-16 11:30:00	8.966259268102638	-51.260839441316485	81.03374073189737
2023-07-16 12:00:00	5.8063214242906405	0.0	84.19367857570936
2023-07-16 12:30:00	8.966259268102638	51.260839441316485	81.03374073189737
2023-07-16 13:00:00	14.842463401280625	70.22189087321132	75.15753659871939
2023-07-16 13:30:00	21.284112468815056	79.07365141309934	68.71588753118495
2023-07-16 14:00:00	27.889571760637846	84.57697295246571	62.11042823936215
2023-07-16 14:30:00	34.55009166273177	88.65495802745681	55.44990833726824
2023-07-16 15:00:00	41.22199356633574	92.03101957330956	48.77800643366426
2023-07-16 15:30:00	47.8813883735682	95.04005934474074	42.11861162643179
2023-07-16 16:00:00	54.51133690358883	97.8639404137	35.488663096411166
2023-07-16 16:30:00	61.09708963615609	100.61608205533093	28.902910363843908
2023-07-16 17:00:00	67.62382092506857	103.37715293307308	22.376179074931425
2023-07-16 17:30:00	74.07520468499317	106.21227573195955	15.924795315006836
2023-07-16 18:00:00	80.4322250533312	109.18043019382648	9.567774946668811
2023-07-16 18:30:00	86.67194095677434	112.34030225925042	3.328059043225665
2023-07-16 19:00:00	92.76603301861503	115.75440356002821	-2.7660330186150426
2023-07-16 19:30:00	98.67900100298854	119.4922086148126	-8.67900100298854
2023-07-16 20:00:00	104.36590873705039	123.63241300251264	-14.365908737050393
2023-07-16 20:30:00	109.7696375009554	128.2638086222552	-19.769637500955398
2023-07-16 21:00:00	114.8177748702789	133.48347598337165	-24.817774870278903
2023-07-16 21:30:00	119.41963976149815	139.3899224552261	-29.419639761498146
2023-07-16 22:00:00	123.46465417082155	146.06774781532192	-33.46465417082155
2023-07-16 22:30:00	126.8243317813572	153.56066029659334	-36.8243317813572
2023-07-16 23:00:00	129.36108119454337	161.8339331530016	-39.36108119454338
2023-07-16 23:30:00	130.94634317692308	170.73824289316963	-40.94634317692308
2023-07-17 00:00:00	131.65630643548616	-180.0	-41.65630643548616
2023-07-17 00:30:00	131.11430174167756	-170.70355242067185	-41.114301741677565
2023-07-17 01:00:00	129.5233330846452	-161.76829822801804	-39.5233330846452
2023-07-17 01:30:00	126.97813845744786	-153.47015199964338	-36.97813845744786
2023-07-17 02:00:00	123.60840463901322	-145.95890602967162	-33.60840463901323
2023-07-17 02:30:00	119.55270965930217	-139.26841388033486	-29.55270965930216
2023-07-17 03:00:00	114.94024239136941	-133.35353312716836	-24.940242391369406
2023-07-17 03:30:00	109.88200464470742	-128.12822408183237	-19.88200464470741
2023-07-17 04:00:00	104.46889201063958	-123.49277739589789	-14.468892010639578
2023-07-17 04:30:00	98.77339757491052	-119.34918762134221	-8.773397574910511
2023-07-17 05:00:00	92.8526455978897	-115.6079635231722	-2.8526455978897034
2023-07-17 05:30:00	86.75154213458697	-112.18985949518812	3.248457865413033
2023-07-17 06:00:00	80.50554642855606	-109.02492489476936	9.494453571443945
2023-07-17 06:30:00	74.14294162077634	-106.05017521596072	15.857058379223668
2023-07-17 07:00:00	67.68664844194278	-103.2063821237646	22.313351558057217
2023-07-17 07:30:00	61.15568885560321	-100.43386492792006	28.844311144396787
2023-07-17 08:00:00	54.5664355789171	-97.66651175897167	35.4335644210829
2023-07-17 08:30:00	47.933825242325966	-94.82216048760165	42.066174757674034
2023-07-17 09:00:00	41.27282863894303	-91.78499664788937	48.72717136105697
2023-07-17 09:30:00	34.60081410990787	-88.36906604426915	55.39918589009213
